GRP_CD,CMN_CD,GRP_NM,CMN_NM,ORDR,REF_KEY_1,REF_KEY_2,REF_KEY_3,REF_KEY_4,REF_KEY_5,REG_DT,REG_USR,UPD_DT,UPD_USR,USE_YN,DEL_YN
CMMN_264,701602,워크넷 직종분류,외장 목공(목조주택 건립),887,11,,,,,2021-08-09 13:16:35,SYSTEM,2021-08-09 13:16:35,SYSTEM,Y,N
CMMN_264,701603,워크넷 직종분류,"내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)",576,04,,,,,2021-08-09 13:16:15,SYSTEM,2021-08-09 13:16:15,SYSTEM,Y,N
CMMN_264,701604,워크넷 직종분류,전통 건축원,889,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,701700,워크넷 직종분류,조적공 및 석재 부설공,890,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,701900,워크넷 직종분류,기타 건설 구조 기능원,891,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,701901,워크넷 직종분류,건설현장반장,892,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,701902,워크넷 직종분류,비계공,893,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,701903,워크넷 직종분류,건물칸막이 설치원,894,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,701904,워크넷 직종분류,"기타 건설 기능원(건물해체,정화조설치,방음벽설치 등)",895,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,702100,워크넷 직종분류,미장공,897,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,702200,워크넷 직종분류,방수공,898,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,702300,워크넷 직종분류,단열공,899,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,702400,워크넷 직종분류,바닥재 시공원,900,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,702401,워크넷 직종분류,타일·대리석 시공원,901,11,,,,,2021-08-09 13:16:36,SYSTEM,2021-08-09 13:16:36,SYSTEM,Y,N
CMMN_264,702402,워크넷 직종분류,장판·카펫 시공원,902,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702500,워크넷 직종분류,도배공 및 유리 부착원,903,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702501,워크넷 직종분류,도배공,904,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702502,워크넷 직종분류,유리 부착원(유리공),905,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702600,워크넷 직종분류,건물 도장공,906,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702701,워크넷 직종분류,새시 조립·설치원,907,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702702,워크넷 직종분류,새시 보조원(견습공),908,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702900,워크넷 직종분류,기타 건축 마감 기능원,909,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702901,워크넷 직종분류,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),910,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,702902,워크넷 직종분류,지붕잇기원 등 기타 건축 마감 기능원,911,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,703100,워크넷 직종분류,건설 배관공,913,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,703101,워크넷 직종분류,"건축 배관공(옥내급수관,상하수배관,위생 배관)",914,11,,,,,2021-08-09 13:16:37,SYSTEM,2021-08-09 13:16:37,SYSTEM,Y,N
CMMN_264,703102,워크넷 직종분류,가스 배관공(가스관 설치원),915,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,703200,워크넷 직종분류,"공업 배관공(플랜트,항공,선박,철도차량)",916,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,703900,워크넷 직종분류,기타 배관공,917,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,703901,워크넷 직종분류,기타 배관공(배관누수 탐지원),918,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,703902,워크넷 직종분류,배관 보조원,919,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,704000,워크넷 직종분류,건설·채굴 기계 운전원,924,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,704001,워크넷 직종분류,"굴착기(굴삭기,포클레인) 운전원",925,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,704002,워크넷 직종분류,로더 운전원(페이로더 운전원),926,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,704003,워크넷 직종분류,레미콘 차량 운전원(콘크리트 믹서 트럭),927,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,704004,워크넷 직종분류,"도로정지기, 덤프트럭 등 기타 건설·채굴 기계 운전원",928,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,704005,워크넷 직종분류,농림어업 기계 운전원,929,11,,,,,2021-08-09 13:16:38,SYSTEM,2021-08-09 13:16:38,SYSTEM,Y,N
CMMN_264,705100,워크넷 직종분류,"광원, 채석원 및 석재 절단원",931,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,705101,워크넷 직종분류,광원 및 채석원,932,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,705102,워크넷 직종분류,"석재 가공원(석재 절단, 연마, 조각원 등)",933,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,705200,워크넷 직종분류,철로 설치·보수원,934,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,705900,워크넷 직종분류,기타 채굴·토목 종사원,935,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,705901,워크넷 직종분류,점화·발파·화약관리원 및 삭구원,936,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,705902,워크넷 직종분류,"잠수 기능원(잠수부, 구난 잠수요원)",937,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,706000,워크넷 직종분류,건설·채굴 단순 종사원,939,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,706001,워크넷 직종분류,조경시설물 설치원,940,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,706002,워크넷 직종분류,건설·채굴 단순 종사원,941,11,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,811100,워크넷 직종분류,공업기계 설치·정비원,944,09,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,811101,워크넷 직종분류,공작기계 설치·정비원,945,09,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,811102,워크넷 직종분류,화학기계 설치·정비원,946,09,,,,,2021-08-09 13:16:39,SYSTEM,2021-08-09 13:16:39,SYSTEM,Y,N
CMMN_264,811103,워크넷 직종분류,섬유기계 설치·정비원,947,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811104,워크넷 직종분류,전자제품 제조기계 설치·정비원,948,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
