HIRE_SEQ,EMP_CO_NO,CO_CLCD,CO_CLCD_NM,CO_NM,BUSINO,REG_LOG_IMG_NM,MAP_COOR_Y,MAP_COOR_X,HOMEPG,CO_INTRO_SUMMARY_CONT,CO_INTRO_CONT,MAIN_BUSI_CONT,REG_DATE,REG_USR,UPD_DATE,UPD_USR,USE_YN
9186,E000020483,00,중소기업,한국폴리아세탈,8468102214,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCorYKC5jo%2Fte%2Buwgfs8qUKT9XsDTu3Lns6GbROOIpNteHmo0qkzCytUosLS9CJRDasEFx5u3XVzHzrhBQax7uco%3D,37.5633614435676,126.980439990525,https://www.gpac-kpac.com/,엔지니어링 플라스틱 판매사,"KPAC는 KEPITAL 제품의 정통 계승자로 성장하고 있습니다.KPAC은 KEPITAL 제품의 정통 계승자로서, 3곳의 거점을 중심으로 세계를 향해 활동을 펼치고 있습니다. 서울 본사는 영업활동을 통해 고객과의 소통 및 비즈니스 전략을 담당하고, 안양 연구소는 R&D센터와 기술지원센터를 갖추고 혁신적인 엔지니어링 플라스틱 개발을 주도하며, 강원도 원주에서는 Compound 공장을 가동하여 고품질의 가치가 높은 제품을 생산하여, 단순한 판매회사가 아닌 제품 개발부터 제조까지 폭넓은 분야에서 활동하고 있습니다.KPAC은 KEPITAL 브랜드를 통해 전 세계 고객의 요구에 부응할 뿐만 아니라 그 이상의 가치를 제공합니다. 고객이 필요로 하는 Customer grade 개발과 CAE 설계 지원 등 혁신적인 기술을 제공하며 'Total Solution'을 제안합니다. 그리고 더 좋은 재료와 서비스를 통해 고객의 만족도를 높을 뿐만 아니라, 그것이 모든 사람들을 위한 ‘더 나은 미래’ 를 창출할 수 있다고 믿습니다.KPAC의 비전은 인류의 풍요로운 삶을 위해 고객과 함께 세계와 미래를 향해 도약하는 것입니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
9187,E000020463,60,강소기업,애경특수도료,1188123128,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDChCi9XbqO5Q1Aqaiz5JJw%2BHHLY%2BqBONIGMv%2FF7Jjm%2BHwuZNZtT43VIwoYYZLJ6icEBZBlUjiM8%2F7424rWuDyaK0%3D,37.3410888658229,126.713149914807,https://www.aekyungpaint.com/,일반용 도료 및 관련제품 제조업,"애경특수도료주식회사는 인류가 꿈꾸는 풍요로운 미래를 만들기 위해, 끊임없는 기술개발과 고객만족 경영으로 보다 나은 제품과 서비스를 제공하기 위해 노력하고 있습니다.인간과 환경을 먼저 생각하는 애경특수도료주식회사의 제품은 우리 생활 가장 가까운 곳에서 인류의 생활을 더욱 풍요롭게 가꾸어 나갈 것입니다.안정적인 매출 기반과 해외시장 진출, 기술투자를 바탕으로 화학부문의 새로운 비즈니스 모델을 개척하고자 합니다.애경특수도료주식회사는 끊임없는 연구 개발과 노력으로 인간과 환경을 생각하는 기업이 될 것입니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:19,API_SYNC,Y
9188,E000020443,00,중소기업,에이치디씨현대피씨이,1268676524,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCua0mYsYe0e6ITNRYqUTLlRR9OIaBHP4nTs0UiwGLJZ91VZimZrhjbxYSQM84apRgZDsjkYkUd58KxjfuuuWap4%3D,37.1809256191149,127.66102465241,http://www.hdc-pce.com/index.php,프리캐스트 콘크리트(Precast Concrete) 전문기업,"삶을 풍요롭게 하는 기업, HDC현대PCE입니다.1988년 HDC현대산업개발의 사업부로 출범한 HDC현대PCE는 프리캐스트 콘크리트(Precast Concrete) 전문기업입니다.전국 각지의 아파트, 지식산업센터, 물류센터, 경기장 시공 등 30년간의 경험과 노하우를 바탕으로 재탄생한 HDC현대PCE는 숙련공이 단절되어 가는 건설현장 속에서 각 분야 최고의 전문가들이 설계단계부터 시공에 이르기 까지 보다 빠르고, 보다 높은 품질의 제품으로 시공사는 물론 공간을 공유하는 모든 분께 최고의 만족을 선사할 것입니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
9189,E000020424,00,중소기업,에스엠유니버스,2958601616,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCvj9pCAn044xDSawe2aXDidUnQe2%2BfdMlQqH25YuYPTDsT1gKCmmTQRXom8iMjInxR%2BimxzS2deAWHyiwm0kWx0%3D,37.4981614530965,127.068456214925,http://www.smuniverse.com/,예술 교육기관,SM UNIVERSE는 SM엔터테인먼트와 ESteem에서 직접 경험을 통해 보유한 아티스트 트레이닝 노하우 및 특유의 엘리트주의로 유명한 종로학원이 모여 Global Artist 및 미래의 엔터테인먼트 산업을 이끌어 갈 대중문화예술인으로 성장할 수 있도록 인재육성 커리큘럼을 제공하는 예술 교육기관입니다.,,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
9190,E000020423,00,중소기업,삼성복지재단,1048205958,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCgiLHeZ6l14bRsNyvXZBf3T8IdtCNyKBOWY8V1MoJB1u68TTGEYp7nDch9%2BGC1Vnlv5CeqZyJyxXrf7apQN8BNo%3D,37.5380906744933,126.998065297364,http://www.samsungwelfare.org/,함께 잘 사는 사회를 위해 노력하는 삼성복지재단,"삼성복지재단은 1989년 삼성 제 2창업 이념 중 하나인 '함께 잘 사는 행복한 사회'를 만들겠다는 취지로 설립되었습니다.그동안 국내에서 처음으로 사회복지 프로그램 개발 지원사업(우수사례집 보기)을 운영하였을 뿐만 아니라 장학사업, 보육사업 등 다양한 사업을 수행하며 우리나라 사회복지 향상에 견인차 역할을 해왔습니다.2012년부터 대한민국 청소년들이 교육의 격차를 넘어 꿈의 격차를 해소할 수 있도록 온라인 학습 플랫폼을 기반으로 스스로의 적성과 꿈을 찾고 키울 수 있는 삼성드림클래스를 운영하고 있습니다.또한 재단 설립과 더불어 어린이야말로 나라의 보배이자 미래의 희망이라는 생각으로, 저소득층 가정을 위한 보육사업을 시작하여 현재까지 삼성어린이집을 건립, 운영지원해 오고 있습니다. 이러한 어린이집 운영 노하우를 바탕으로 우수한 보육 프로그램을 개발하기 위한 연구사업 등을 통해 모범적이고 선진적인 보육사업의 모델을 제시해 왔으며, 최근에는 어린이집 교직원의 전문성 향상을 위한 온라인 교육 과정을 개발, 운영하여 시대를 반영한 질 높은 교육 컨텐츠를 제공하고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
9191,E000020403,60,강소기업,인천국제공항보안,1728701571,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCt85PP0iWf4ClzW0h7snyjzD%2F7rViNDcVdzv%2FLF7Z8DxYzuddT99FMH6xsAtmQeZ5jkorUDk9HychoZ5mOI3faw%3D,37.4390779767265,126.463836156937,http://airportsc.kr/,세계적인 공항 보안기업,"인천국제공항보안은 대한민국 대표 관문인 인천국제공항의 최전선에서 국민의 생명과 재산을 보호하는 막중한 책임감과 사명 아래 항공보안법과 경비업법에 의거하여 인천국제공항공사의 자회사로 설립되었습니다.공항 이용객과 항공기의 안전을 지키기 위하여 무결점 항공 보안을 실현하고 편리한 보안서비스 달성이라는 최고 가치를 바탕으로 ‘세계에서 가장 안전한 공항을 만드는, 세계적인 공항 보안기업’으로 성장하겠습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:19,API_SYNC,Y
9192,E000020384,40,중견기업,키엔스코리아,2208681557,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCpjolpCuiCCBfrg6MsiZ4%2Bn6UE0a0N2EBgUuyhfj2QIxzDsdd4l8DhORiHrMgWF1TO%2FQB46ELbSue2MUB5A%2Bfpo%3D,37.385130669663,127.121865851196,https://www.keyence.co.kr/,"공장 자동화 분야에서 센서, 측정 시스템, 레이저 마킹기, 마이크로스코프, 비전 시스템을 제공하는 세계적인 기업","KEYENCE는 공장 자동화 분야에서 센서, 측정 시스템, 레이저 마킹기, 마이크로스코프, 비전 시스템을 제공하는 세계적인 기업입니다. 모든 제조 산업에서 고객의 요구를 충족하는 혁신적이고 신뢰할 수 있는 제품을 개발하고자 노력하고 있습니다.KEYENCE는 세계적 수준의 제품과 더불어 고객에게 보다 나은 지원을 위해 다양한 서비스를 제공합니다. 고도로 숙련된 세일즈 엔지니어들은 직접 고객에게 다양한 애플리케이션을 제안하고 KEYENCE 제품에 대한 가이드 라인을 빠르게 제시해드립니다. 또한 빠른 배송 서비스로 고객들이 가능한 빨리 업무에 적용, 개선할 수 있도록 대응하고 있습니다.KEYENCE는 독보적인 지원과 뛰어난 기술을 결합하여 고객의 가치를 더 할수 있도록 최선을 다하고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:17,API_SYNC,Y
9193,E000020383,30,공공기관,제주신용보증재단,6168215959,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCvINF6K%2FmikDRwEm4MgfblFWWsa4KKkL7Ex%2FzzbgU%2BOVkEyqQKryXC5IoOnzSvSr7zvd5bcfSciygk5mnu%2Bnd4A%3D,33.4823414829046,126.48516600076,https://www.jcgf.or.kr/index.php,금융·非금융적 지원을 해온 기관,"제주특별자치도에 소재하고 있으며, 기술력과 성장잠재력은 있으나 담보력이 부족하여 자금조달에 어려움을 겪고 있는 소기업 · 소상공인의 채무를 보증해줌으로써 자금융통을 원활하게 하여 제주지역 경제활성화에 기여하고자 설립된 공적보증기관입니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:17,API_SYNC,Y
9194,E000020363,00,중소기업,스튜디오에스(국세청오류),1288647739,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCtcKy2IhX58%2FUMi7DXXg%2BWSEYX5NBwIBwuQSDZZ4GkN5h8G8ZzTs2MozqA7cTGIteMrypakdCUL4MqERKcZrmL4%3D,37.696803812702,126.762572296345,https://s-studio.co.kr/index.html,창의적인 기업 스튜디오 S,"Where all Superior Stories Start최고의 이야기가 시작되는 곳 ‘스튜디오S’지난 30년간 국내 최고의 드라마를 제작해 온 SBS 드라마본부의 새 이름 입니다.Superior지금까지도, 앞으로도, 항상 최고인 스튜디오S스튜디오S는 드라마 왕국 SBS의 30년 역사를 이어받아,믿고 보는 콘텐츠로 창사 이래 드라마 시청률 1위를 놓치지 않는 대한민국 최고의 제작사입니다.Stories세상 어디에도 없는 스튜디오S의 이야기스튜디오S는 Well-made 작품을 기획·제작하는 업계 최고의 창작자들과,보다 많은 사람들에게 스튜디오S의 이야기를 전달할 수 있는 전문가들이 모여,지금도 세상에 없었던 서사를 쓰고 있습니다.Start더 큰 무대로 향하는 스튜디오S의 새로운 시작스튜디오S는 이제 대한민국을 넘어 글로벌 플랫폼과 함께세계무대에서의 경쟁력을 확대하고 있습니다.스튜디오S의 이야기로 세계를 감동시킬 수 있는 글로벌 콘텐츠 스튜디오를 향한 발걸음을 시작합니다",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
9195,E000020343,00,중소기업,흥국증권,1078191795,http://www.work.go.kr/framework/filedownload/getImage.do?filePathName=tqyczLUvysXSEcOVhPgDCv9ldXAagrSzg7%2Fu2OXiB1dYQntptswH01n%2BFUDsM93mFCAQUn7gJsJBpslMDUhYp33anoghwUt1p3SvTAow7yg%3D,37.5238640247561,126.924142368161,http://www.heungkuksec.co.kr/,증권사,"흥국증권주식회사는 주식과 채권의 전통 유가증권 투자는 물론 부동산과 국내외 대체투자에 이르기까지 다양한 투자와 자금조달 서비스를 수행하고 있습니다. 주로 법인 및 전문기관 투자자를 대상으로 한 영업을 통해 지난 10년간의 연속 흑자경영을 안정적으로 운영해 왔습니다.흥국증권이 속해 있는 태광그룹은 1950년 창립 이래 섬유, 석유화학, 금융, 미디어, 레저 등 다양한 분야에서 지속적인 성장을 거듭하고 있습니다.특히 자회사인 흥국자산운용을 비롯해, 금융계열사인 흥국생명, 흥국화재, 고려저축은행, 예가람저축은행과 함께 고객 여러분께 종합 금융서비스를 제공하고 있습니다.",,2025-11-05 17:31:15,API_SYNC,2026-06-26 01:10:05,API_SYNC,Y
