테이블,테이블코멘트,컬럼,컬럼순서,PK,타입,길이,NULL,컬럼코멘트
tb_ent_exclnc,우수기업,KOR_CEO_NM,19,,varchar,varchar(100),YES,
tb_ent_exclnc,우수기업,HDQTR_KOR_ADRS,20,,text,text,YES,
tb_ent_exclnc,우수기업,HDQTR_KOR_DETAIL_ADRS,21,,text,text,YES,
tb_ent_exclnc,우수기업,HDQTR_LEGAL_CD,22,,varchar,varchar(10),YES,
tb_ent_exclnc,우수기업,HDQTR_TELNO,23,,varchar,varchar(20),YES,
tb_ent_exclnc,우수기업,EMAIL,24,,varchar,varchar(100),YES,
tb_ent_exclnc,우수기업,HOMP_URL,25,,text,text,YES,
tb_ent_exclnc,우수기업,RDCNT,26,,int,int,NO,조회수
tb_ent_exclnc,우수기업,SHARE_CNT,27,,int,int,NO,공유건수
tb_ent_exclnc,우수기업,YTH_SML_GNT_YN,28,,char,char(1),NO,
tb_ent_exclnc,우수기업,YTH_CRTFC_YEAR,29,,varchar,varchar(4),YES,
tb_ent_exclnc,우수기업,BHRC_EXPIRE_DT,30,,varchar,varchar(10),YES,
tb_ent_exclnc,우수기업,INTRST_CNT,31,,int,int,YES,관심건수
tb_ent_exclnc,우수기업,ENT_DATA_OPEN_YN,32,,varchar,varchar(1),YES,
tb_ent_exclnc,우수기업,ITV_PAY_YN,33,,char,char(1),NO,
