BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
0100000013,가평군청소년상담복지센터,경기 가평군 가평읍 문화로 120 (대곡리),,4182025022,http://gp1318.com/index.htm
0100000014,가평군체육회,"경기 가평군 가평읍 문화로 131 (대곡리, 가평종합운동장, 가평군체육회)",,4182025022,https://www.gpsports.or.kr/main
0100000015,가평군여성비전센터,"경기 가평군 가평읍 석봉로 181 (읍내리, 가평군청)",,4182025021,http://www.gp.go.kr/portal/index.do
0100000016,가평군 환경성질환예방센터,"경기 가평군 상면 축령로 289-126 (행현리, 가평군 환경성질환 예방관리센터(숲의약속))",,4182033023,http://www.gp.go.kr/portal/index.do
0100000017,가평군청소년문화의집,경기 가평군 가평읍 문화로 120 (대곡리),,4182025022,http://www.1318gp.or.kr/
0100000018,가평군육아종합지원센터,경기 가평군 가평읍 석봉로191번길 19 (읍내리),,4182025021,http://www.gpicare.or.kr/
0100000019,가평군립도서관,"경기 가평군 가평읍 문화로 187 (읍내리, 한석봉 도서관)",,4182025021,https://www.gaplib.go.kr/intro/index.do#
0100000020,가평군하수도사업소,경기 가평군 가평읍 달전로31번길 48 (달전리),,4182025023,https://www.gp.go.kr/portal/index.do
0100000021,가평역사박물관," (읍내리, 고향가는길주말농원)",,4182025021,
0100000022,가평군 한석봉도서관,"경기 가평군 가평읍 문화로 187 (읍내리, 한석봉 도서관)",,4182025021,https://www.gaplib.go.kr/intro/40004/contents.do
0100000023,가평군치매안심센터,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소)",,4182025021,https://gp.nid.or.kr/main/main.aspx
0100000024,가평군도서관,"경기 가평군 가평읍 문화로 187 (읍내리, 한석봉 도서관)",,4182025021,https://www.gaplib.go.kr/intro/index.do
0100000025,육군 제66보병사단,경기 가평군 가평읍 가화로 269 (승안리),사서함 567-1호 제66보병사단 군수참모처 앞,4182025028,
0100000026,가평군가족센터,"경기 가평군 가평읍 석봉로191번길 10 (읍내리, 가평군 2청사)",2층,4182025021,
0100000027,노비따스음악중고등학교,경기 가평군 설악면 한서로210번길 325 (위곡리),노비따스음악중고등학교,4182031027,https://novitas-s.goegp.kr/novitas-s/main.do
0100000028,가평군설악청소년문화의집,"경기 가평군 설악면 자잠로 63 (신천리, 설악 다문화종합복지관)",,4182031021,https://seorakyouth.or.kr/
0100000029,가평군의회,"경기 가평군 가평읍 석봉로 181 (읍내리, 가평군청)",,4182025021,
0100000030,경기도가평교육지원청,"경기 가평군 가평읍 향교로 17 (읍내리, 가평교육청)",,4182025021,
0100000031,청평장애인활동지원센터,"경기 가평군 청평면 청평중앙로 64 (청평리, 처갓집통닭)",2층,4182032521,
0100000032,가평우체국,"경기 가평군 가평읍 보납로 2 (읍내리, 가평우체국)",,4182025021,
0100000033,조종면행정복지센터,"경기 가평군 조종면 조종내길 71 (현리, 조종면사무소)",,4182034521,
0100000034,가평군 환경교육센터,"경기 가평군 가평읍 석봉로 100 (대곡리, 뮤직빌리지)",,4182025022,
0100000234,청평노인복지관,"경기 가평군 청평면 은고개로 39 (청평리, 청평호반 문화체육센터)",2층,4182032521,http://www.8879.or.kr/
0100000235,공군 제 8979부대,"경기 가평군 가평읍 보납로 2 (읍내리, 가평우체국)",가평우체국 사서함 1층 19,4182025021,
0100013467,육군 제7297부대,경기 가평군 가평읍 가화로 248 (승안리),사서함 567-1호,4182025028,
0100021548,육군 제7021부대,경기 가평군 조종면 운악청계로 75 (현리),,4182034521,
0100021584,가평군정신건강복지센터·자살예방센터,"경기 가평군 가평읍 가화로 155-15 (읍내리, 가평군건강증진센타)",1층,4182025021,https://www.gpmhc.com/
0100031223,가평경찰서,"경기 가평군 가평읍 가화로 61 (대곡리, 가평경찰서)",,4182025022,https://ggbpolice.go.kr/gp/mainPage.do
0100033691,가평꽃동네희망의집,"경기 가평군 조종면 꽃동네길 35-25 (운악리, 가평꽃동네 희망의집)",,4182034528,http://kkothope.or.kr/
