BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
1288629293,(주)원마운트,경기 고양시 일산서구 한류월드로 300,,4128710400,www.onemount.co.kr
1288629328,제넥스엔지니어링(주),"경기 고양시 덕양구 통일로 140 (동산동, 삼송테크노밸리)",,4128111200,
1288629895,(주)비앤피,,,,
1288630086,경원조경(주),"경기 고양시 일산서구 일산로 774, 603호",,4128710400,www.kyungone.com
1288630747,(주)대경아이엔씨,경기 고양시 일산동구 고봉로578번길 13,,4128511300,www.dginckr.com
1288631580,성원이엔지주식회사,,,4148026222,
1288632181,(주)원플러스,경기 파주시 월롱면 누현1길 35,,4148031021,http://1-plus.co.kr
1288632288,월드페이퍼(주),경기 파주시 소라지로167번길 107,,4148012000,
1288632503,(주)아이티잉크,경기 파주시 신촌2로 23,,4148012000,www.itink.co.kr
1288632691,(주)맘스맘,경기 고양시 덕양구 덕양로 508-1,,4128110500,http://momsmom.com
1288632895,(주)유이테크,경기 고양시 일산서구 송포로391번길 2,,4128710600,https://uetech.co.kr/
1288633837,아우토슈타트(주),경기 고양시 일산서구 고양대로 136,,4128710800,
1288633967,(주)디티씨인터내셔널,,,4128510400,
1288634312,(주)아이티엘,"경기 고양시 일산서구 호수로 844, 404호",,4128710400,
1288635043,(주)동양피엘유에스,경기 고양시 일산서구 구산로69번길 34-5,,4128710700,
1288635081,(주)파인텍,"경기 고양시 일산동구 일산로 138, 324호",,4128510600,www.ifinetek.com
1288635209,(주)엠앤에프,경기 고양시 일산서구 덕이로 220-29,,4128710500,morn.co.kr
1288635873,자이글(주),"서울 강서구 허준로 217, 11층 1114호",,1150010400,www.zaigle.com
1288635999,(주)글로리,경기 이천시 모가면 군들로 46,,4150036026,www.물티슈제조.kr
1288636042,(주)리버앤씨,"경기 안양시 동안구 학의로 282, 603호604호 (관양동,금강펜테리움아이티타워)",,4117310200,www.rnsea.com
1288636794,(주)휴먼그린플러스,"경기 수원시 팔달구 장다리로 276, 307호 (인계동,동부프라자)",,4111514100,
1288636979,(주)연수레,"경기 안양시 동안구 시민대로 187, 1103호",,4117310100,
1288637304,(주)강가의나무,"경기 고양시 일산동구 호수로 646-30, 306호",,4128510400,www.treeshore.co.kr
1288637793,(주)오륙,경기 고양시 일산동구 고양대로1119번길 38,,4128510100,http://www.oruk.co.kr
1288637814,(주)제이에스텔레존,"경기 고양시 일산동구 무궁화로 20-38, 406-1호",,4128510400,
1288637866,고양컨트리클럽(주),경기 고양시 덕양구 흥도로 304-23,,4128110500,www.goyangcc.com
1288638171,한국오션플랫폼(주),"경기 성남시 분당구 판교역로146번길 20, 13층 판교오피스",,4113511000,https://www.kop.co.kr
1288638598,(주)에스엠잡,"경기 고양시 일산서구 킨텍스로 255, 14층 1404호",,4128710400,
1288638813,코넥스이앤씨(주),,,4128510400,
1288639146,국제테크(주),"경기 파주시 조리읍 팔학골길 139-28, 2동",,4148026221,
1288639243,(주)쁘레베베,,,1165010800,
1288639296,비엘인터내셔날(주),"경기 고양시 일산동구 위시티1로 6-70, 502호",,4128510100,
1288639317,(주)엔젤푸드,경기 김포시 홍도평로 117-116,,4157010200,
1288639637,(주)한강디앤씨,"경기 고양시 일산동구 무궁화로 43-15, 302-1호",,4128510400,
1288639980,(주)주노콜렉션,"경기 고양시 덕양구 지도로 44, 1,2,3,4,5,6층",,4128112000,www.laorh.com
1288640134,동방페이퍼(주),경기 고양시 일산동구 장항로 139-5,,4128510400,www.paver.kr
1288640279,(주)애그리로보텍,경기 이천시 부발읍 신아로 58,,4150025330,www.agrirobotech.co.kr
1288640376,(주)에다스,,,4128511300,
1288640473,(주)트렉시,"경기 파주시 가람로21번길 51-14, 1층",,4148012200,
1288640639,(주)골프맥스,경기 고양시 일산서구 송포로 225,,4128710600,
1288640871,(주)인하우스,경기 고양시 일산동구 장대길 42-18,,4128510400,
1288640911,(주)포모스트,경기 파주시 파주읍 파발로 61,,4148025326,
1288640930,(주)비전북,경기 고양시 일산서구 송산로 499-10 (덕이동),,4128710500,https://www.facebook.com/visionbooks
1288641166,송림산업개발(주),"경기 파주시 경의로1240번길 14-5, 5층 504호",,4148012200,
1288642243,농업회사법인하나곡물유통(주),"경기 고양시 일산서구 송포로 208-7, 2동",,4128710600,
1288642281,(주)더베러푸드,경기 파주시 조리읍 능안로 235,,4148026226,betterfood.co.kr
1288642355,솜인터내셔널(주),경기 용인시 처인구 모현읍 곡현로 506-2,,4146125325,www.sominternational.com
1288642597,(주)테라,"경기 고양시 일산동구 위시티4로 126-10 (식사동,유현빌딩)",,4128510100,
1288642622,모우리자원(주),경기 고양시 일산동구 고봉로 694,,4128511100,
1288642791,(주)펫스토리,"경기 고양시 일산동구 호수로 358-25, 224호, 225호, 226호, 227호",,4128510600,www.mypetstory.net
1288642883,(주)지퓨텍,,,4148012100,http://www.gfutec.com
1288643179,(주)베이비피아,경기 고양시 일산서구 탄중로67번길 21 (덕이동),,4128710500,www.shinhanaone.com
1288644805,(주)민커뮤니케이션,"경기 고양시 일산동구 견달산로369번길 215-41, 다동",,4128511200,www.mincommunication.co.kr
1288644858,(주)케이폴,,,4157025626,
1288645221,(주)아라리,"경기 파주시 탄현면 평화로574번길 73-3 (갈현리, 아라리)",,4148032023,www.deutschen.kr
1288645430,(주)에이제이금속,경기 파주시 파주읍 정문로 589-24,,4148025325,
1288645876,플러스이앤지(주),,,4128510600,
1288645916,(주)알엔디플러스,,,4128510600,
1288645992,(주)원테마종합건설,"경기 고양시 덕양구 고양대로 1359-14, 302호",,4128110600,
1288646384,(주)에이치비월드,경기 화성시 양감면 서해로152번길 162,,4159040026,www.hbworld.co.kr
1288646856,대성에스티(주),"경기 고양시 일산동구 중앙로 1305-30, 423-1호",,4128510400,
1288647383,(주)지피아이코리아,,,4128510200,
1288647699,(주)플레이링스,"경기 성남시 분당구 황새울로360번길 42, 16층",,4113510500,https://corp.playlinks.com/
1288647739,스튜디오에스(주),"경기 고양시 일산서구 일현로 111, 별관 3층",,4128710300,https://s-studio.co.kr/
1288647888,(주)엠브이팩,경기 파주시 탄현면 방촌로 493-28,,4148032022,www.todoplc.co.kr
1288647947,(주)위퍼스,경기 김포시 월곶면 고양로117번길 91-26,,4157035024,
1288647952,(주)기산이앤씨,"경기 고양시 덕양구 호국로 1092, 101호",,4128110200,
1288648174,(주)두현,"경기 고양시 일산동구 일산로 142, 413-1호",,4128510600,
1288648494,(주)티엠아이코리아,"경기 고양시 일산서구 일현로 97-11, 105동 1005호",,4128710300,
1288648515,(주)금산케미칼,경기 파주시 소라지로 58,,4148011600,
1288648738,대주전기(주),,,4128113000,
1288648868,(주)코램프,경기 고양시 일산서구 멱절길124번길 38-5 (대화동),38-5,4128710400,
1288649019,(주)우솔,"경기 고양시 일산동구 백마로 195, 2층 2-2136호",,4128510400,
1288649057,(주)가나엔텍,"경기 남양주시 진접읍 금강로 976, 2층",,4136025323,http://www.ganaentec.co.kr
1288649396,(주)빈센트,경기 파주시 신촌로 29,,4148012000,
1288649571,(주)에스에프씨,"경기 고양시 일산동구 애니골길 116, , 2, 3층",,4128510700,www.shabuhyang.co.kr
1288650189,(주)피엔에스,"경기 고양시 덕양구 화정로 65-1, 101호",,4128112300,
1288650253,(주)긴키테크코리아,,,4128111100,www.kinteko.co.kr
1288650272,(주)오톡스,경기 고양시 일산동구 공릉천로473번길 78-22 (설문동),,4128511100,autox.co.kr
1288650535,(주)비티컴퍼스,"경기 고양시 덕양구 통일로 140 (동산동, 삼송테크노밸리)",,4128111200,www.autogate.co.kr
1288650632,(주)에스알커머스,"경기 고양시 일산동구 고봉로 32-19, 903호",,4128510400,www.srcommerce.co.kr
1288650781,(주)토빅스,경기 화성시 장안면 삼수문길 20,,4159037024,www.boxmall.net
1288651174,(주)정윤인터내셔날,"경기 파주시 회동길 121 (문발동, (주)영교)",,4148011500,
1288651548,(주)매직자동문,,,4148011300,
1288651908,(주)토모,,,4148032027,
1288652227,(주)가이아코퍼레이션,"경기 파주시 문발로 129, 4층",,4128510400,www.gaiabiz.co.kr
1288652585,유어즈에셋(주),"경기 고양시 일산동구 강송로225번길 56, 2층",,4128510500,
1288652682,(주)한우물웰케어,,,4128510600,
1288652741,(주)진텍스,"경기 고양시 덕양구 화신로260번길 64, 401호",,4128112300,
1288652891,(주)한국예건종합건설,"경기 고양시 덕양구 화중로 100, 704호",,4128112300,
1288653191,(주)엠에이치알,,,4128112300,www.mhr.co.kr
1288653420,(주)경민코퍼레이션,경기 파주시 조리읍 대원로 12-1,,4148026227,
1288653492,(주)아이푸드,경기 김포시 하성면 오정동로 177,,4157036022,
1288654152,(주)대동이엔지,,,4148032027,
1288654166,(주)웨스트진베이커리,,,4128111000,
1288654297,(주)주원씨앤아이,,,4157025623,
1288654472,신성전자(주),,,,
1288654701,(주)글라스바바안경체인,"경기 고양시 일산동구 정발산로 24, 1동 1003호",,4128510400,
1288654749,홍익건설(주),"경기 고양시 일산동구 백마로 195, 6001호",,4128510400,
1288654787,(주)예스팜랜드,경기 파주시 장명산길 298,,4148011000,
1288656086,(주)그린식품,경기 고양시 일산동구 동국로 283-33,,4128511200,
1288656198,(주)삼부자,경기 고양시 일산서구 가좌로 66-38,,4128710600,www.livingtrois.co.kr
1288656373,(주)지피케이,"경기 고양시 일산동구 정발산로 19, 802호 (장항동,지평프라자)",,4128510500,
1288656392,(주)서진에스앤디,"경기 파주시 평화로 266-11, 나동",,4148010400,http://www.catskingdom.co.kr
1288656581,(주)아트플랜,"경기 고양시 일산동구 무궁화로 18, 601호 (장항동,남정씨티프라자1차)",,4128510300,
1288656728,(주)엘드,경기 고양시 일산동구 진밭로 99 (성석동),,4128511300,
1288657182,(주)오피유커스,"경기 고양시 일산동구 백마로 195 (장항동, 에스케이엠시티오피스텔)",,4128510400,http://ophiuchus.co.kr
1288658589,(주)벽두엔에이치티,경기 양주시 백석읍 권율로1203번길 40-25,,4163025025,
1288658804,(주)크레치코,경기 김포시 월곶면 비석동로50번길 5,,4157035023,
1288658880,(주)이솔,"경기 하남시 조정대로 35, 에프808호, 에프809호",,4145011000,
1288658895,(주)아트니어링,경기 고양시 일산동구 성석로 218-18 (성석동),,4128511300,https://blog.naver.com/arteng06 
1288658954,게이트비젼(주),경기 고양시 일산동구 일산로 111,,4128510600,www.gatevision.co.kr
1288659142,신성리사이클링(주),경기 고양시 일산동구 장진천길 154-2,,4128511100,
1288659424,고양도시관리공사,경기 고양시 일산서구 중앙로 1601,,4128710400,
1288659706,고양경일에너지(주),경기 고양시 일산동구 통일로1267번길 143-70,,4128511000,http://biosrf.com
1288659837,삼성로지피아(주),경기 고양시 일산서구 덕산로 109-22,,4128710600,soosunge2b.com
1288660028,(주)에이티씨,경기 고양시 일산동구 애니골길43번길 101,,4128510700,
1288660218,(주)소닉티어,"경기 파주시 회동길 37-39, 101호",,4148011500,http://sonictier.com
1288660426,(주)스타메드,"경기 고양시 일산동구 하늘마을로 158, B동 1403호",,4128510600,www.starmed4u.com
1288660479,내쇼날 엔지니어링 주식회사,경기 고양시 일산서구 가좌로50번길 11-10 (가좌동),"1층, 내쇼날 엔지니어링",4128710600,oilpress.co.kr
1288660896,(주)씨엔씨푸드,경기 고양시 일산동구 문봉길62번길 32-15,,4128511200,
1288661070,두이커머스(주),경기 고양시 일산서구 가좌로 22,,4128710600,
1288661202,(주)에이치에스테크놀로지,경기 파주시 탄현면 새오리로286번길 33,,4148032025,www.hstco.co.kr
1288661430,(주)아트원,"경기 고양시 일산동구 태극로 60, 10층 1008호 빛마루",,4128510400,
1288661518,(주)디오산업,,,4128510600,
1288661600,(주)금성티케이,경기 고양시 덕양구 충장로 11 (행신동),,4128112800,
1288661861,(주)스마트에어,"경기 양주시 남면 삼육사로 8, 1동,2동,3동",,4163032029,
1288662083,(주)임가네한우마을,경기 고양시 덕양구 흥도로 443-12,,4128110600,
1288662161,(주)원스탑,"경기 고양시 일산동구 고봉로770번길 44-7, 3층",,4128511100,
1288662273,(주)광개토쇼핑,경기 양주시 장흥면 일영로375번길 46,,4163034027,
1288663141,그린피플(주),,,4128110600,
1288663379,행복담기(주),경기 광주시 오포읍 수렁개길 26,,4161025024,
1288663419,(주)하임코퍼레이션,"경기 고양시 덕양구 충장로 11, 601호",,4128112800,
1288663646,(주)지티엘,경기 파주시 탄현면 헤이리로 203,,4148032031,www.gtl.co.kr
1288663971,(주)영광상사,경기 파주시 탄현면 오금로80번길 37,,4148032029,
1288664039,(주)엠디피,,,4128111100,
1288664403,(주)씨엠씨에프씨,"경기 고양시 일산동구 정발산로 24, 1동 406호",,4128510400,www.jongrofc.com
1288664529,(주)대상화성점,경기 화성시 우정읍 쌍봉로 501-32,,4159025626,
1288664645,인선모터스(주),경기 고양시 일산동구 동국로 286,,4128510100,www.insunmotors.co.kr
1288664719,(주)금릉할인마트,"경기 광주시 퇴촌면 천진암로 545-1, 2층",,4161034022,
1288664776,(주)밀알제이앤피,경기 파주시 소라지로 176-33 (송촌동),,4148011600,www.miraljnp.com
1288665080,(주)에스에프글로비즈,경기 고양시 일산서구 송파로151번길 55,,4148011100,www.shoeplex.co.kr
1288665116,(주)개화,,,4148037026,
1288665659,(주)대창,경기 고양시 일산동구 지영로 257-23 (지영동),,4128511000,https://blog.naver.com/gydaechang
1288665983,(주)경성이테크,경기 안성시 원곡면 동문길 25-14,,4155038023,
1288666319,(주)한국윤활유,경기 고양시 일산동구 지영로 185,,4128511000,
1288666513,(주)베스테크,,,4128510600,
1288666911,(주)일미리,"경기 고양시 일산동구 중앙로1275번길 86-1, 201호",,4128510400,
1288667133,(주)한양하이켐,,,4128511100,
1288667225,서강전기(주),,,4148031024,
1288667297,케이씨씨모빌리티(주),경기 고양시 일산동구 백마로 522,,4128510700,www.nissan-premier.co.kr
1288667389,(주)명진,"경기 고양시 일산서구 중앙로 1406, 409호",,4128710200,www.myoungjin.net
1288667512,(주)참존종합건설,"경기 김포시 고촌읍 인향로 4, 2층",,4157025324,www.czkp.co.kr
1288667716,(주)올리브엔제펫토,경기 고양시 일산동구 율천로7번길 12 (정발산동),,4128510300,http://www.alljep.co.kr
1288667787,가온스틸(주),"경기 고양시 일산동구 정발산로 24, 1동 404호",,4128510400,
1288667813,(주)명세,경기 평택시 진위면 삼남로 745-24,,4122031022,
1288667832,상명산업(주),경기 고양시 일산동구 장항로225번길 15,,4128510400,
1288668073,(주)싸이런픽쳐스,"경기 고양시 일산동구 호수로 662, 1541호",,4128510400,
1288668277,(주)진성디엠,경기 고양시 일산동구 문봉길 44-111,,4128511200,www.js3pl.co.kr
1288668618,돈성미트(주),경기 고양시 덕양구 대덕로141번길 2,,4128113000,
1288668845,(주)디오텍코리아,경기 파주시 월롱면 통일로642번길 25,,4148031025,www.deotech.net
1288668898,(주)아이디텍,"경기 고양시 일산동구 호수로430번길 8-8, 1층",,4128510600,
1288669413,(주)웰라이프,,,4128511300,
1288669989,(주)아이피에스인터네셔널,"경기 부천시 길주로77번길 55-25, 7층 702호",,4119010900,
1288670297,(주)월드산업본점,"경기 고양시 일산동구 공릉천로 300-17, 3동",,4128511000,
1288670394,예도컨스텍(주),"경기 고양시 덕양구 충장로117번길 21-10, 3층",,4128112800,
1288670507,(주)룰루랄라,"경기 고양시 일산동구 고봉로 32-19 (장항동, 남정씨티프라자7차)",6층 602호,4128510400,
1288670512,(주)유디켐아이엔씨,"경기 고양시 일산동구 호수로 358-25, 801호,802호",,4128510600,
1288671715,(주)성심커버링,경기 고양시 일산동구 문원길 61,,4128511100,
1288672072,(주)데코뷰,경기 고양시 일산동구 강송로225번길 46,,4128510500,
1288672524,(주)제이제이수산,"경기 파주시 재두루미길 312-17, 1동 101호",,4148012000,
1288673130,(주)성진토건,,,4128112300,
1288673329,(주)쿠진,경기 고양시 일산동구 성현로93번길 45-1,,4128511300,coozin.kr
1288674347,고래미(주),경기 파주시 탄현면 방촌로 541-19,,4148032027,www.goremi.co.kr
1288674560,(주)명주,경기 고양시 일산서구 덕이로 78-3,,4128710500,
1288675079,(주)타라코리아,경기 고양시 일산서구 장자길118번길 105-109,,4128710500,tarakorea.com
1288675405,(주)블루,"경기 고양시 일산동구 장백로 19, 1동 310호",,4128510600,
1288675424,(주)비티메디,,,4128510400,
1288675588,(주)디에스테크,경기 고양시 일산서구 구산로101번길 58-28,,4128710700,
1288675822,(주)유니룩스,경기 고양시 덕양구 충경로 96,,4128112800,www.unielux.com/
1288676836,(주)에이치에스리테일,경기 고양시 일산서구 일산로 567,,4128710100,
1288677039,(주)서래,"경기 파주시 청암로17번길 33, 601호",,4148011700,
1288677306,(주)성심이노팩,경기 파주시 문발로 431-1 (신촌동),,4148012000,
1288677311,(주)청은에프엔비,경기 고양시 일산동구 견달산로225번길 21-42,,4128510100,http://chungeun.com
1288677363,(주)희망노트사,경기 고양시 일산동구 장항로 203-155,,4128510400,www.heemangnote.co.kr
1288677626,주식회사 번창하이테크,,,4128510900,
1288677683,비씨씨코리아(주),"경기 고양시 일산동구 일산로 142, 270호",,4128510600,http://www.bcckorea.net
1288677704,(주)서반플래닝,"경기 고양시 덕양구 충장로 8, 1012호 1011호, 1012호",,4128112300,
1288677719,(주)세계로마트,"경기 고양시 덕양구 호국로 816, 1층",,4128110600,
1288678722,(주)진티앤,경기 고양시 일산동구 감내길 48-21,,4128511300,
1288678912,주식회사 지엠케이,경기 고양시 일산동구 장진천길 66-12 (설문동),,4128511100,www.gmkkorea.kr
1288679959,(주)지티에스코리아,"경기 고양시 일산동구 일산로 46, 701호",,4128510600,
1288680096,(주)에스디코퍼레이션,"경기 고양시 덕양구 통일로 140 (동산동, 삼송테크노밸리)",,4128111200,
1288680330,(주)미디어오픈,"경기 고양시 일산서구 중앙로 1426, 801호",,4128710200,www.mediaopen.co.kr
1288680475,(주)팜스,경기 고양시 덕양구 행신로 267,,4128112800,
1288680500,에스제이코퍼레이션(주),경기 고양시 일산동구 견달산로225번길 45-9,,4128510100,
1288680553,(주)타이키코리아,"경기 고양시 덕양구 충경로 38, 503호",,4128112800,
1288681101,(주)새한물류,경기 고양시 일산동구 성현로268번길 33,,4128511300,
1288681458,(주)아이알티코리아,"경기 성남시 중원구 사기막골로45번길 14, 성남우림라이온스밸리2차 제16층 제비-1612호, 제비-1613호, 제",,4113310500,www.irtkorea.co.kr
1288681590,(주)삼경테크,"경기 고양시 일산동구 호수로 358-25, 426호",,4128510600,
1288681722,(주)대일인터내셔널,경기 고양시 일산동구 성현로 426-45,,4128511200,
1288681756,(주)에덴웰푸드,"경기 파주시 연다산길 196, 1동",,4148012100,
1288681853,(주)정수테크,경기 파주시 소라지로 116-7,,4148012100,http://jumgsootech.co.kr
1288681983,(주)엠케이트레이딩,경기 김포시 월곶면 월하로 212,,4128510500,
1288682022,(주)베니굿,,,4128710400,
1288683415,(주)케이유켐,"경기 고양시 일산동구 호수로 672, 1406호",,4128510400,
1288684132,(주)지엔비,"경기 고양시 일산동구 호수로 358-39 (백석동, 동문타워I)",1차 707호,4128510600,http://gnbtec.com/
1288684302,(주)다우테크,경기 고양시 일산동구 성석로92번길 6,,4128511300,
1288684812,(주)사닥다리종합건설,"경기 파주시 경의로 1114, 902호",,4148010800,www.sadakdari.com
1288685301,(주)블랙다이아몬드코리아,"경기 고양시 일산동구 일산로 138, 906호",,4128510600,
1288685577,(주)티엠커머스,경기 파주시 송학길 66,,4148010800,http://tmcommerce.co.kr
1288685733,(주)에스오에프티,경기 화성시 서신면 전곡산단11길 31-6,,4159035024,
1288685806,(주)연욱,"경기 고양시 일산동구 일산로 142, 410호",,4128510600,
1288685811,(주)세진컴퍼니,"경기 파주시 조리읍 사근절길 17-68, 1층",,4148026225,
1288686256,(주)아이티빌리지,"서울 영등포구 양산로 43, 1111호",,4128510400,www.itvillage.co.kr
1288686498,파트존,,,4128510400,
1288686635,(주)이드리븐,경기 파주시 탄현면 방촌로 1144-26,,4148032030,
1288686921,(주)프로스,,,4148012000,
1288687288,(주)케이앤엠,"경기 안양시 동안구 엘에스로 76, 616, 617호 (호계동,디오밸리)",,4117310400,www.knmeng.com
1288688026,(주)디엠건설산업,"경기 고양시 덕양구 마상로134번길 75, 304호",,4128110100,
1288689758,(주)에스유알코리아,"경기 용인시 기흥구 중부대로 200, 4층",,4146311100,http://www.surkorea.co.kr
1288690124,(주)휴먼솔루션,,,4128510300,
1288690750,(주)토호식품,경기 고양시 덕양구 고골길116번길 39-40,,4128111800,
1288690861,노블랜드(주),"경기 고양시 일산동구 일산로 74-17, 415호",,4128510600,
1288690876,대방주택(주),"경기 고양시 일산동구 일산로 74-17, 214호",,4128510600,
1288690880,대방하우징(주),"경기 고양시 일산동구 일산로 74-17, 206-1호",,4128510600,
1288690901,농업회사법인(주)천호굿푸드,,,4128510100,명품오리.kr
1288691007,(주)엘엔산업개발,"경기 김포시 고촌읍 김포대로 344, 가동 305호",,4157025324,
1288691119,에이블투어(주),,,4163010600,
1288691517,우진레미콘(주),경기 고양시 덕양구 흥도로 79,,4128110500,
1288691889,(주)태양생활건강,경기 고양시 덕양구 내유길124번길 4-1,,4128111900,http://www.taeyanglh.co.kr
1288692684,(주)김치스쿨,"경기 고양시 덕양구 중앙로62번길 6, 가동",,4128113100,
1288693005,(주)불새21,경기 고양시 일산서구 구산로69번길 34-9,,4128710700,
1288693214,허브뱅크유통(주),경기 고양시 덕양구 선유길 97-46,,4128111500,
1288693233,(주)경기케미칼,경기 파주시 조리읍 팔학골길 64,,4148026221,
1288693738,(주)디자인투맨,,,4128510900,
1288693946,(주)보아스재활타운,경기 고양시 일산동구 견달산로 316,,4128511200,www.boazgc.com
1288694310,(주)대운푸드시스템,"경기 김포시 옹주물로 31-38, 가동",,4157010400,www.daewoonfood.com
1288694339,그린엔텍콤(주),경기 고양시 일산동구 은마길63번길 25-16,,4128511100,
1288694469,(주)레이팝,"경기 고양시 일산동구 호수로 358-39 (백석동, 동문타워I)",,4128510600,
1288694775,메디원(주),"경기 고양시 덕양구 행신로 155-12, 지하1층",,4128112800,
1288700575,대영리사이클링(주),경기 고양시 일산동구 견달산로369번길 95,,4128511200,
1288700594,신아진정보유통(주),"경기 고양시 일산동구 장백로 200, 1001호",,4128510400,
1288700707,에스씨엠(주),"경기 고양시 일산동구 호수로 358-39, 521호",,4128510600,www.scmkcvt.com
1288700861,유제이정보통신(주),"경기 고양시 일산동구 정발산로 43-20, 301호",,4128510400,
1288701083,디비건설(주),"경기 고양시 일산동구 중앙로 1072, 7층",,4128510600,
1288701098,대방이노베이션(주),"경기 고양시 일산동구 중앙로 1072, 602호",,4128510600,
1288701123,디비산업개발(주),"경기 고양시 일산동구 중앙로 1072, 7층 702호",,4128510600,
1288701268,오토엔테크(주),,,4128511300,
1288701458,(주)서인커튼월,,,4128510300,
1288701521,(주)크리팩,경기 고양시 일산동구 노첨길 66-1 (장항동),,4128510400,
1288701934,(주)지티에스글로벌,경기도 성남시,,4113511600,www.ballop.co.kr
1288702461,(주)경인메탈,경기 파주시 광탄면 만장산로 243-81,,4148035025,
1288702670,(주)케이엠에이치텍,경기 고양시 일산동구 한류월드로 60 (장항동),,4128510400,www.kmhtech.co.kr
1288702739,티피에이코리아(주),,,4148011600,
1288702817,헤이신코리아(주),경기 고양시 덕양구 삼송로221번길 5-2,,4128110900,http://www.pump.co.kr
1288702952,(주)결고은사람들,경기 김포시 양촌읍 황금3로7번길 57,,4157025626,
1288702966,유진에이엠씨(유),"경기 고양시 일산서구 고양대로632번길 60, 305호",,4128710100,
1288703005,(주)에코브릿지,"경기 고양시 덕양구 권율대로 656, 1716호 (원흥동,원흥역클래시아더퍼스트)",,4128110400,
1288703228,푸드앤,,,4157036031,
1288703271,(주)한빛코리아,경기 파주시 조리읍 능안로 185,,4148026226,
1288703359,삼운건설(주),"경기 고양시 일산동구 중앙로 1074, 6층",,4128510600,
1288703382,(주)티엔푸드,,,4128511300,
1288703548,(주)더캐리,,,4128510400,bebedepino.com
1288703868,(주)골드윈,"경기 남양주시 진관로 32-10, 2층",,4163010800,www.kbgoldwin.co.kr
1288703999,갑조네,,,4128111400,
1288704168,에스엠씨알앤디(주),"경기 고양시 일산동구 성현로 147-9, B동",,4128511300,
1288704358,피델리(주),경기 김포시 통진읍 김포대로 1979,,4157025021,www.almacielo.com
1288704474,알에스엠코리아(주),경기 고양시 일산서구 덕이로172번길 4-20 (덕이동),,4128710500,rsmkorea.co.kr
1288704834,제드코리아(주),경기 고양시 일산동구 고봉로 709,,4128511100,
1288704926,(주)로운컴퍼니씨앤씨,"경기 고양시 일산동구 정발산로 24, 804호",,4128510400,www.rowoon.com
1288705304,(주)제이케이글로텍,"경기 김포시 태장로 741, 401호, 402호",,4157010400,
1288705416,(주)영민네트웍스,"경기 고양시 일산동구 중앙로1261번길 77, 303호",,4128510400,
1288705551,(주)스마트홈일렉트로닉스,"경기 고양시 덕양구 통일로 140, A동 1층 145호",,4128111900,
1288706720,(주)나리,"경기 하남시 대성로95번길 24, 1층",,4145011800,
1288706910,에스엠건설(주),"경기 남양주시 별내3로 326, 604호",,4136011100,
1288707239,(주)하본인터내셔널,"경기 고양시 덕양구 삼원로 73 (원흥동, 고양 원흥 한일윈스타 지식산업센터)", 717호,4128110400,
1288707374,(주)원흥,"경기 고양시 덕양구 서오릉로 712, 2층",,4128110400,
1288707637,(주)이룸자산관리,"경기 고양시 일산동구 중앙로1261번길 77 (장항동, 메트로폴리스)",,4128510400,
1288707700,(주)어도어럭스,"경기 고양시 덕양구 삼원로 83, 1123호",,4128110400,adorelux.com
1288707791,(주)티오엠,"경기 고양시 덕양구 도래울로 103, 701호",,4128110500,roseroseshop.com
1288707976,(주)컴포스,경기 군포시 산본로48번길 52-26,,4141010200,
1288708067,(주)리체,경기 고양시 일산동구 성현로377번길 63-7,,4128511200,http://www.lliche.com
1288708179,(주)제일오토테크,"경기 부천시 원미구 송내대로 388, 201동 704호 (약대동,부천테크노파크)",,4119210500,
1288708223,시밀레알루미늄(주),경기 파주시 적성면 적성산단로 35-13,,4148037026,
1288708276,(주)트리코페이퍼,경기 안산시 상록구 팔곡1길 6,,4127110500,
1288708432,(주)공감개발,"경기 고양시 덕양구 지축1로 69, 305호 (지축동,공감타워)",,4128110900,
1288708465,(주)원컴,,,4128710600,
1288708539,(주)더채움,,,4128511300,
1288708655,(주)도윤상사,경기 파주시 방촌로 358-21,,4148010600,
1288708669,(주)골드스톤,경기 포천시 신북면 독곡1길 29-22,,4165034022,
1288708674,대방디엠시티(주),"경기 고양시 일산동구 일산로 74-17, 804호",,4128510600,
1288709028,(주)씨메이트,"경기 파주시 광인사길 153, 201호",,4148011500,www.cmate.biz
1288709504,(주)선향,"경기 부천시 길주로77번길 19-45, 305호",,4119010900,www.sunhyang.biz
1288709668,(주)에빅오토모티브코리아,경기 김포시 양촌읍 석모로5번길 48-7,,4157025626,
1288709917,(주)바트,"경기 고양시 일산서구 중앙로 1456, 510호",,4128710200,
1288710506,(주)지엠엠,"경기 고양시 일산동구 정발산로 24, 706호 (장항동,웨스턴타워3차)",,4128510400,
1288710578,(주)주다기프트,,,4128510600,
1288710597,(주)제이디코프,경기 고양시 일산동구 장진천길 30-41,,4128511100,
1288710641,스위트몬스터(주),"경기 고양시 일산동구 호수로 646-24, 208동 253호 (장항동,위너스21-2차)",,4128510400,www.sweetmonster.co.kr
1288711067,(주)준인터내셔날,경기 고양시 일산서구 이산포길 256,,4128710800,
1288711387,(주)도비마켓,"경기 고양시 덕양구 무원로6번길 50, 302-비호 (행신동,명승세도나)",,4128112800,
1288711752,(주)이든이앤씨,"경기 성남시 중원구 사기막골로62번길 33, F동 717호",,4113310500,
1288711844,(주)알본,"경기 파주시 광탄면 혜음로 1035, A동 2층",,4148035027,
